kota_normal,produk,7,8,9,10,total
Bengkalis,Yayle Exypnost 120 ml,245,152,73,96,566
Bengkalis,Yayle Exypnost 200 ml,260,77,64,58,459
Bengkayang,Yayle Exypnost 120 ml,29,20,22,21,92
Bengkayang,Yayle Exypnost 200 ml,36,13,5,4,58
Bengkulu,Yayle Exypnost 120 ml,85,32,16,16,149
Bengkulu,Yayle Exypnost 200 ml,70,37,28,12,147
Bengkulu Selatan,Yayle Exypnost 120 ml,18,13,6,5,42
Bengkulu Selatan,Yayle Exypnost 200 ml,11,2,1,7,21
Bengkulu Tengah,Yayle Exypnost 120 ml,17,11,6,7,41
Bengkulu Tengah,Yayle Exypnost 200 ml,4,3,1,3,11
Bengkulu Utara,Yayle Exypnost 120 ml,57,37,22,12,128
Bengkulu Utara,Yayle Exypnost 200 ml,51,14,16,8,89
Berau,Yayle Exypnost 200 ml,168,43,55,26,292
Berau,Yayle Exypnost 120 ml,111,54,23,22,210
Biak Numfor,Yayle Exypnost 120 ml,3,5,4,6,18
Biak Numfor,Yayle Exypnost 200 ml,3,4,0,0,7
Bima,Yayle Exypnost 120 ml,28,19,12,10,69
Bima,Yayle Exypnost 200 ml,17,7,7,4,35
Binjai,Yayle Exypnost 120 ml,67,22,14,15,118
Binjai,Yayle Exypnost 200 ml,47,9,6,15,77
Bintan,Yayle Exypnost 120 ml,26,17,21,17,81
Bintan,Yayle Exypnost 200 ml,35,12,8,16,71
Bireuen,Yayle Exypnost 120 ml,172,109,86,86,453
Bireuen,Yayle Exypnost 200 ml,191,85,64,95,435
Bitung,Yayle Exypnost 200 ml,30,9,2,5,46
Bitung,Yayle Exypnost 120 ml,21,10,2,1,34
Blitar,Yayle Exypnost 120 ml,233,106,104,68,511
Blitar,Yayle Exypnost 200 ml,167,62,57,41,327
Blora,Yayle Exypnost 120 ml,229,97,100,52,478
Blora,Yayle Exypnost 200 ml,86,47,33,25,191
Boalemo,Yayle Exypnost 120 ml,16,13,11,7,47
Boalemo,Yayle Exypnost 200 ml,30,5,0,4,39
Bogor,Yayle Exypnost 120 ml,2398,1152,881,704,5135
Bogor,Yayle Exypnost 200 ml,1002,519,394,353,2268
Bojonegoro,Yayle Exypnost 120 ml,403,186,145,115,849
Bojonegoro,Yayle Exypnost 200 ml,163,77,37,52,329
Bolaang Mongodow Timur,Yayle Exypnost 120 ml,7,4,1,2,14
Bolaang Mongodow Timur,Yayle Exypnost 200 ml,4,0,0,0,4
Bolaang Mongondow,Yayle Exypnost 120 ml,8,18,10,9,45
Bolaang Mongondow,Yayle Exypnost 200 ml,11,7,1,0,19
Bolaang Mongondow Selatan,Yayle Exypnost 120 ml,7,5,1,4,17
Bolaang Mongondow Selatan,Yayle Exypnost 200 ml,4,2,3,0,9
Bolaang Mongondow Timur,Yayle Exypnost 120 ml,3,4,2,0,9
Bolaang Mongondow Timur,Yayle Exypnost 200 ml,1,2,2,2,7
Bolaang Mongondow Utara,Yayle Exypnost 120 ml,5,3,2,2,12
Bolaang Mongondow Utara,Yayle Exypnost 200 ml,4,0,0,0,4
Bombana,Yayle Exypnost 200 ml,53,32,18,3,106
Bombana,Yayle Exypnost 120 ml,42,23,18,3,86
Bondowoso,Yayle Exypnost 120 ml,155,68,44,37,304
Bondowoso,Yayle Exypnost 200 ml,61,27,20,17,125
Bone,Yayle Exypnost 120 ml,165,66,48,46,325
Bone,Yayle Exypnost 200 ml,170,61,21,15,267
Bone Bolango,Yayle Exypnost 120 ml,25,10,4,12,51
Bone Bolango,Yayle Exypnost 200 ml,13,5,5,4,27
Bontang,Yayle Exypnost 200 ml,33,12,14,13,72
Bontang,Yayle Exypnost 120 ml,40,9,8,5,62
Boven Digoel,Yayle Exypnost 200 ml,0,0,2,0,2
Boyolali,Yayle Exypnost 120 ml,216,86,81,76,459
Boyolali,Yayle Exypnost 200 ml,63,32,41,27,163
Brebes,Yayle Exypnost 120 ml,553,258,235,181,1227
Brebes,Yayle Exypnost 200 ml,206,121,96,66,489
Bukittinggi,Yayle Exypnost 200 ml,37,13,10,8,68
Bukittinggi,Yayle Exypnost 120 ml,24,11,5,4,44
Buleleng,Yayle Exypnost 120 ml,72,52,36,25,185
Buleleng,Yayle Exypnost 200 ml,53,32,18,3,106
Bulukumba,Yayle Exypnost 120 ml,60,29,33,16,138
Bulukumba,Yayle Exypnost 200 ml,48,23,17,4,92
Bulungan,Yayle Exypnost 200 ml,66,20,24,18,128
Bulungan,Yayle Exypnost 120 ml,35,15,22,15,87
Bungo,Yayle Exypnost 120 ml,144,59,49,49,301
Bungo,Yayle Exypnost 200 ml,112,33,17,23,185
Buol,Yayle Exypnost 200 ml,10,15,2,1,28
Buol,Yayle Exypnost 120 ml,21,2,4,0,27
Buru,Yayle Exypnost 120 ml,3,3,2,0,8
Buru,Yayle Exypnost 200 ml,0,4,2,2,8
Buru Selatan,Yayle Exypnost 200 ml,0,2,0,0,2
Buru Selatan,Yayle Exypnost 120 ml,1,0,0,0,1
Buton,Yayle Exypnost 120 ml,12,7,3,4,26
Buton,Yayle Exypnost 200 ml,9,4,2,6,21
Buton Selatan,Yayle Exypnost 120 ml,10,3,2,3,18
Buton Selatan,Yayle Exypnost 200 ml,6,2,2,4,14
Buton Tengah,Yayle Exypnost 200 ml,16,4,4,0,24
Buton Tengah,Yayle Exypnost 120 ml,2,9,3,5,19
Buton Utara,Yayle Exypnost 200 ml,6,1,6,2,15
Buton Utara,Yayle Exypnost 120 ml,3,2,2,1,8
Ciamis,Yayle Exypnost 120 ml,271,87,72,64,494
Ciamis,Yayle Exypnost 200 ml,79,36,29,39,183
Cianjur,Yayle Exypnost 120 ml,600,259,179,146,1184
Cianjur,Yayle Exypnost 200 ml,264,129,99,65,557
Cilacap,Yayle Exypnost 120 ml,429,241,199,156,1025
Cilacap,Yayle Exypnost 200 ml,182,145,104,117,548
Cilegon,Yayle Exypnost 120 ml,109,54,44,25,232
Cilegon,Yayle Exypnost 200 ml,60,27,20,24,131
Cimahi,Yayle Exypnost 120 ml,71,23,22,14,130
Cimahi,Yayle Exypnost 200 ml,36,13,13,10,72
Cirebon,Yayle Exypnost 120 ml,765,413,260,246,1684
Cirebon,Yayle Exypnost 200 ml,294,160,128,93,675
Dairi,Yayle Exypnost 120 ml,38,26,25,8,97
Dairi,Yayle Exypnost 200 ml,42,8,8,8,66
Deli Serdang,Yayle Exypnost 120 ml,520,391,247,232,1390
Deli Serdang,Yayle Exypnost 200 ml,459,258,200,181,1098
Demak,Yayle Exypnost 120 ml,329,186,144,89,748
Demak,Yayle Exypnost 200 ml,161,86,55,31,333
Denpasar,Yayle Exypnost 120 ml,115,70,35,29,249
Denpasar,Yayle Exypnost 200 ml,76,37,22,22,157
Depok,Yayle Exypnost 120 ml,224,129,84,88,525
Depok,Yayle Exypnost 200 ml,113,58,45,34,250
Dharmasraya,Yayle Exypnost 120 ml,86,35,33,32,186
Dharmasraya,Yayle Exypnost 200 ml,70,15,18,25,128
Dompu,Yayle Exypnost 120 ml,22,7,13,5,47
Dompu,Yayle Exypnost 200 ml,16,10,3,3,32
Donggala,Yayle Exypnost 120 ml,40,20,7,6,73
Donggala,Yayle Exypnost 200 ml,35,18,15,4,72
Dumai,Yayle Exypnost 120 ml,99,63,31,18,211
Dumai,Yayle Exypnost 200 ml,98,30,18,36,182
Empat Lawang,Yayle Exypnost 120 ml,38,18,5,6,67
Empat Lawang,Yayle Exypnost 200 ml,25,11,5,5,46
Ende,Yayle Exypnost 120 ml,14,6,10,3,33
Ende,Yayle Exypnost 200 ml,10,8,3,3,24
Enrekang,Yayle Exypnost 200 ml,46,11,15,8,80
Enrekang,Yayle Exypnost 120 ml,22,23,10,5,60
Fak Fak,Yayle Exypnost 120 ml,2,4,4,2,12
Flores Timur,Yayle Exypnost 200 ml,10,9,3,7,29
Flores Timur,Yayle Exypnost 120 ml,4,1,3,6,14
Garut,Yayle Exypnost 120 ml,461,211,130,105,907
Garut,Yayle Exypnost 200 ml,202,88,78,61,429
Garut Kota,Yayle Exypnost 120 ml,1,0,0,0,1
Garut Kota,Yayle Exypnost 200 ml,1,0,0,0,1
Gayo Lues,Yayle Exypnost 120 ml,17,8,10,5,40
Gayo Lues,Yayle Exypnost 200 ml,16,2,1,4,23
Gianyar,Yayle Exypnost 120 ml,78,54,34,25,191
Gianyar,Yayle Exypnost 200 ml,45,31,17,11,104
Gorontalo,Yayle Exypnost 200 ml,46,9,12,6,73
Gorontalo,Yayle Exypnost 120 ml,38,5,16,10,69
Gorontalo Utara,Yayle Exypnost 120 ml,18,13,13,12,56
Gorontalo Utara,Yayle Exypnost 200 ml,18,13,4,3,38
Gowa,Yayle Exypnost 120 ml,110,57,60,18,245
Gowa,Yayle Exypnost 200 ml,130,41,40,25,236
Gresik,Yayle Exypnost 120 ml,547,218,178,123,1066
Gresik,Yayle Exypnost 200 ml,252,109,91,73,525
Grobogan,Yayle Exypnost 120 ml,454,207,167,152,980
Grobogan,Yayle Exypnost 200 ml,172,78,67,45,362
Gunung Kidul,Yayle Exypnost 120 ml,18,13,10,7,48
Gunung Kidul,Yayle Exypnost 200 ml,8,3,1,1,13
Gunung Mas,Yayle Exypnost 120 ml,39,18,21,13,91
Gunung Mas,Yayle Exypnost 200 ml,33,11,13,8,65
Gunungkidul,Yayle Exypnost 120 ml,62,28,35,17,142
Gunungkidul,Yayle Exypnost 200 ml,16,10,14,2,42
Gunungsitoli,Yayle Exypnost 200 ml,14,9,4,3,30
Gunungsitoli,Yayle Exypnost 120 ml,7,9,5,5,26
Halmahera Barat,Yayle Exypnost 120 ml,5,13,12,0,30
Halmahera Barat,Yayle Exypnost 200 ml,12,3,1,0,16
Halmahera Selatan,Yayle Exypnost 120 ml,12,9,5,3,29
Halmahera Selatan,Yayle Exypnost 200 ml,12,4,3,2,21
Halmahera Tengah,Yayle Exypnost 120 ml,15,17,5,11,48
Halmahera Tengah,Yayle Exypnost 200 ml,9,5,13,4,31
Halmahera Timur,Yayle Exypnost 120 ml,5,8,11,7,31
Halmahera Timur,Yayle Exypnost 200 ml,14,7,4,2,27
Halmahera Utara,Yayle Exypnost 120 ml,21,11,12,4,48
Halmahera Utara,Yayle Exypnost 200 ml,14,8,10,3,35
Hulu Sungai Selatan,Yayle Exypnost 200 ml,33,17,4,9,63
Hulu Sungai Selatan,Yayle Exypnost 120 ml,22,16,6,1,45
Hulu Sungai Tengah,Yayle Exypnost 120 ml,26,12,15,6,59
Hulu Sungai Tengah,Yayle Exypnost 200 ml,34,9,3,6,52
Hulu Sungai Utara,Yayle Exypnost 120 ml,53,24,19,4,100
Hulu Sungai Utara,Yayle Exypnost 200 ml,53,18,3,7,81
Humbang Hasundutan,Yayle Exypnost 120 ml,9,22,20,6,57
Humbang Hasundutan,Yayle Exypnost 200 ml,14,4,7,5,30
Indragiri Hilir,Yayle Exypnost 120 ml,116,60,69,35,280
Indragiri Hilir,Yayle Exypnost 200 ml,121,37,25,17,200
Indragiri Hulu,Yayle Exypnost 120 ml,134,73,66,44,317
Indragiri Hulu,Yayle Exypnost 200 ml,163,59,25,44,291
Indramayu,Yayle Exypnost 120 ml,435,247,154,128,964
Indramayu,Yayle Exypnost 200 ml,234,137,99,65,535
Intan Jaya,Yayle Exypnost 200 ml,1,0,0,0,1
Jakarta Barat,Yayle Exypnost 120 ml,469,233,193,143,1038
Jakarta Barat,Yayle Exypnost 200 ml,237,127,106,86,556
Jakarta Pusat,Yayle Exypnost 120 ml,174,94,45,46,359
Jakarta Pusat,Yayle Exypnost 200 ml,104,50,44,29,227
Jakarta Selatan,Yayle Exypnost 120 ml,319,152,103,80,654
Jakarta Selatan,Yayle Exypnost 200 ml,145,89,52,51,337
Jakarta Tengah,Yayle Exypnost 120 ml,5,5,10,2,22
Jakarta Tengah,Yayle Exypnost 200 ml,2,2,1,1,6
Jakarta Timur,Yayle Exypnost 120 ml,483,273,191,153,1100
Jakarta Timur,Yayle Exypnost 200 ml,307,128,96,94,625
Jakarta Utara,Yayle Exypnost 120 ml,375,189,142,136,842
Jakarta Utara,Yayle Exypnost 200 ml,213,106,73,58,450
Jambi,Yayle Exypnost 120 ml,117,69,58,42,286
Jambi,Yayle Exypnost 200 ml,127,85,33,28,273
Jayapura,Yayle Exypnost 120 ml,10,17,9,6,42
Jayapura,Yayle Exypnost 200 ml,7,9,12,2,30
Jayawijaya,Yayle Exypnost 120 ml,7,9,5,2,23
Jayawijaya,Yayle Exypnost 200 ml,8,2,2,2,14
Jember,Yayle Exypnost 120 ml,456,198,164,145,963
Jember,Yayle Exypnost 200 ml,286,131,91,82,590
Jembrana,Yayle Exypnost 120 ml,45,46,25,14,130
Jembrana,Yayle Exypnost 200 ml,42,22,10,13,87
Jeneponto,Yayle Exypnost 120 ml,28,16,17,23,84
Jeneponto,Yayle Exypnost 200 ml,18,11,7,1,37
Jepara,Yayle Exypnost 120 ml,227,126,113,66,532
Jepara,Yayle Exypnost 200 ml,77,49,29,43,198
Jombang,Yayle Exypnost 120 ml,329,147,82,93,651
Jombang,Yayle Exypnost 200 ml,147,72,44,53,316
Kaimana,Yayle Exypnost 120 ml,4,0,0,0,4
Kaimana,Yayle Exypnost 200 ml,0,0,4,0,4
Kampar,Yayle Exypnost 120 ml,291,193,127,112,723
Kampar,Yayle Exypnost 200 ml,251,56,48,59,414
Kampobalano,Yayle Exypnost 120 ml,0,2,0,1,3
Kampobalano,Yayle Exypnost 200 ml,0,0,0,1,1
Kapuas,Yayle Exypnost 120 ml,37,22,13,21,93
Kapuas,Yayle Exypnost 200 ml,48,16,13,13,90
Kapuas Hulu,Yayle Exypnost 120 ml,108,51,48,32,239
Kapuas Hulu,Yayle Exypnost 200 ml,108,51,28,20,207
Karanganyar,Yayle Exypnost 120 ml,126,87,91,69,373
Karanganyar,Yayle Exypnost 200 ml,74,22,35,25,156
Karangasem,Yayle Exypnost 120 ml,26,31,18,23,98
Karangasem,Yayle Exypnost 200 ml,20,20,14,6,60
Karawang,Yayle Exypnost 120 ml,1163,535,421,316,2435
Karawang,Yayle Exypnost 200 ml,456,217,144,149,966
Karimun,Yayle Exypnost 200 ml,27,15,23,13,78
Karimun,Yayle Exypnost 120 ml,23,19,17,12,71
Karo,Yayle Exypnost 120 ml,59,52,28,15,154
Karo,Yayle Exypnost 200 ml,62,12,33,17,124
Katingan,Yayle Exypnost 120 ml,59,29,20,9,117
Katingan,Yayle Exypnost 200 ml,67,6,11,7,91
Kaur,Yayle Exypnost 120 ml,13,9,5,3,30
Kaur,Yayle Exypnost 200 ml,22,3,3,2,30
Kayong Utara,Yayle Exypnost 120 ml,56,36,14,4,110
Kayong Utara,Yayle Exypnost 200 ml,45,20,12,7,84
Kebumen,Yayle Exypnost 120 ml,240,142,104,82,568
Kebumen,Yayle Exypnost 200 ml,121,73,61,37,292
Kecamatan Fakfak,Yayle Exypnost 120 ml,0,2,0,0,2
Kecamatan Garut Kota,Yayle Exypnost 120 ml,85,35,35,24,179
Kecamatan Garut Kota,Yayle Exypnost 200 ml,75,33,21,5,134
Kecamatan Sarmi,Yayle Exypnost 200 ml,4,0,0,0,4
Kecamatan Sarmi,Yayle Exypnost 120 ml,2,0,0,0,2
Kediri,Yayle Exypnost 120 ml,307,176,118,117,718
Kediri,Yayle Exypnost 200 ml,156,72,73,47,348
Keerom,Yayle Exypnost 120 ml,2,2,0,0,4
Keerom,Yayle Exypnost 200 ml,0,1,1,1,3
Kendal,Yayle Exypnost 120 ml,270,125,107,64,566
Kendal,Yayle Exypnost 200 ml,96,42,21,27,186
Kendari,Yayle Exypnost 200 ml,118,68,24,21,231
Kendari,Yayle Exypnost 120 ml,70,40,23,17,150
Kep Siau Tagulandang Biaro,Yayle Exypnost 120 ml,3,5,0,1,9
Kep Siau Tagulandang Biaro,Yayle Exypnost 200 ml,3,2,2,0,7
Kepahiang,Yayle Exypnost 120 ml,12,5,12,11,40
Kepahiang,Yayle Exypnost 200 ml,19,6,1,7,33
Kepulauan Anambas,Yayle Exypnost 120 ml,18,11,10,1,40
Kepulauan Anambas,Yayle Exypnost 200 ml,10,10,8,0,28
Kepulauan Aru,Yayle Exypnost 200 ml,0,0,3,0,3
Kepulauan Mentawai,Yayle Exypnost 200 ml,10,6,1,0,17
Kepulauan Mentawai,Yayle Exypnost 120 ml,6,3,3,0,12
Kepulauan Meranti,Yayle Exypnost 120 ml,15,11,12,12,50
Kepulauan Meranti,Yayle Exypnost 200 ml,28,4,8,3,43
Kepulauan Sangihe,Yayle Exypnost 120 ml,13,9,11,3,36
Kepulauan Sangihe,Yayle Exypnost 200 ml,4,1,0,0,5
Kepulauan Selayar,Yayle Exypnost 120 ml,11,4,4,4,23
Kepulauan Selayar,Yayle Exypnost 200 ml,8,1,4,3,16
Kepulauan Seribu,Yayle Exypnost 120 ml,7,0,8,1,16
Kepulauan Seribu,Yayle Exypnost 200 ml,9,2,0,2,13
Kepulauan Sula,Yayle Exypnost 200 ml,7,0,5,0,12
Kepulauan Sula,Yayle Exypnost 120 ml,3,0,2,0,5
Kepulauan Talaud,Yayle Exypnost 120 ml,12,18,7,2,39
Kepulauan Talaud,Yayle Exypnost 200 ml,11,5,2,0,18
Kepulauan Tanimbar,Yayle Exypnost 120 ml,7,4,2,0,13
Kepulauan Tanimbar,Yayle Exypnost 200 ml,0,2,0,0,2
Kepulauan Yapen,Yayle Exypnost 120 ml,0,0,0,2,2
Kerinci,Yayle Exypnost 120 ml,17,18,6,7,48
Kerinci,Yayle Exypnost 200 ml,18,3,5,3,29
Ketapang,Yayle Exypnost 120 ml,216,140,89,63,508
Ketapang,Yayle Exypnost 200 ml,192,110,60,57,419
Klaten,Yayle Exypnost 120 ml,184,107,67,53,411
Klaten,Yayle Exypnost 200 ml,63,37,39,25,164
Klungkung,Yayle Exypnost 120 ml,26,27,14,6,73
Klungkung,Yayle Exypnost 200 ml,28,11,7,5,51
Kolaka,Yayle Exypnost 120 ml,45,24,13,13,95
Kolaka,Yayle Exypnost 200 ml,54,17,7,5,83
Kolaka Timur,Yayle Exypnost 200 ml,26,17,14,8,65
Kolaka Timur,Yayle Exypnost 120 ml,22,7,10,4,43
Kolaka Utara,Yayle Exypnost 120 ml,21,14,10,8,53
Kolaka Utara,Yayle Exypnost 200 ml,18,2,3,9,32
Konawe,Yayle Exypnost 120 ml,20,26,15,4,65
Konawe,Yayle Exypnost 200 ml,36,9,14,4,63
Konawe Kepulauan,Yayle Exypnost 200 ml,4,5,2,0,11
Konawe Kepulauan,Yayle Exypnost 120 ml,1,1,2,1,5
Konawe Selatan,Yayle Exypnost 200 ml,38,24,19,9,90
Konawe Selatan,Yayle Exypnost 120 ml,28,23,15,1,67
Konawe Utara,Yayle Exypnost 120 ml,16,8,3,0,27
Konawe Utara,Yayle Exypnost 200 ml,11,6,0,2,19
Kota Adm Jakarta Barat,Yayle Exypnost 120 ml,12,13,12,11,48
Kota Adm Jakarta Barat,Yayle Exypnost 200 ml,1,12,18,8,39
Kota Adm Jakarta Pusat,Yayle Exypnost 120 ml,11,2,10,2,25
Kota Adm Jakarta Pusat,Yayle Exypnost 200 ml,0,3,3,10,16
Kota Adm Jakarta Selatan,Yayle Exypnost 200 ml,1,12,22,8,43
Kota Adm Jakarta Selatan,Yayle Exypnost 120 ml,15,8,12,6,41
Kota Adm Jakarta Timur,Yayle Exypnost 120 ml,23,24,12,18,77
Kota Adm Jakarta Timur,Yayle Exypnost 200 ml,5,9,17,22,53
Kota Adm Jakarta Utara,Yayle Exypnost 200 ml,4,16,20,16,56
Kota Adm Jakarta Utara,Yayle Exypnost 120 ml,12,7,19,1,39
Kota Administrasi Jakarta Barat,Yayle Exypnost 120 ml,333,190,134,111,768
Kota Administrasi Jakarta Barat,Yayle Exypnost 200 ml,134,75,73,44,326
Kota Administrasi Jakarta Pusat,Yayle Exypnost 120 ml,110,49,60,53,272
Kota Administrasi Jakarta Pusat,Yayle Exypnost 200 ml,72,47,29,35,183
Kota Administrasi Jakarta Selatan,Yayle Exypnost 120 ml,176,123,86,101,486
Kota Administrasi Jakarta Selatan,Yayle Exypnost 200 ml,95,64,36,45,240
Kota Administrasi Jakarta Timur,Yayle Exypnost 120 ml,335,194,144,136,809
