date,ads_name,cost,impressions,clicks,ctr,cpc,omset_ads,conversion
2025-01-12,Ads Campaign 11,225157,171591,2175,0.0126754899732503,103.52045977011494,341136,19
2025-01-13,Ads Campaign 22,152379,122015,4502,0.0368971028152276,33.84695690804087,117753,5
2025-01-13,Ads Campaign 33,64789,87694,4018,0.0458184140306064,16.124688899950225,431312,28
2025-01-13,Ads Campaign 17,284598,110373,2679,0.0242722404935989,106.23292273236282,166071,9
2025-01-13,Ads Campaign 43,74040,4358,3446,0.7907296925195043,21.48578061520604,498481,16
2025-01-14,Ads Campaign 8,47798,189069,3427,0.0181256578286234,13.947475926466296,252543,9
2025-01-14,Ads Campaign 48,196872,107244,1025,0.0095576442504942,192.07024390243905,183840,9
2025-01-14,Ads Campaign 19,24138,95913,3311,0.0345208678698403,7.290244639081848,286796,13
2025-01-14,Ads Campaign 16,100201,394908,967,0.0024486715893321,103.62047569803516,247231,9
2025-01-15,Ads Campaign 15,27461,130744,4643,0.0355121458728507,5.914494938617273,161175,14
2025-01-15,Ads Campaign 49,88803,15995,4306,0.2692091278524539,20.62308406874129,338558,32
2025-01-15,Ads Campaign 3,204233,118305,3106,0.0262541735345082,65.75434642627174,305208,30
2025-01-15,Ads Campaign 4,104754,497440,1625,0.0032667256352524,64.464,296275,7
2025-01-16,Ads Campaign 6,51778,46619,3675,0.0788305197451682,14.089251700680272,18755,13
2025-01-16,Ads Campaign 31,292647,274813,4058,0.0147664047916219,72.11606702809266,316228,24
2025-01-16,Ads Campaign 38,175394,315639,2915,0.0092352339222973,60.16946826758147,401246,35
2025-01-16,Ads Campaign 45,142258,223472,3638,0.0162794444046681,39.10335349092908,433343,19
2025-01-17,Ads Campaign 34,170871,428214,751,0.0017537959991966,227.52463382157123,393131,27
2025-01-17,Ads Campaign 27,200005,270045,314,0.0011627691681016,636.9585987261147,369880,31
2025-01-17,Ads Campaign 28,45235,485672,1779,0.0036629659523299,25.427206295671727,311529,29
2025-01-18,Ads Campaign 4,64014,477111,3221,0.0067510495461223,19.87395218876125,202168,11
2025-01-18,Ads Campaign 19,174245,253388,1775,0.0070050673275766,98.1661971830986,298505,7
2025-01-18,Ads Campaign 40,166110,368894,4054,0.0109896067705086,40.97434632461766,255547,12
2025-01-18,Ads Campaign 13,149936,151528,4963,0.0327530225436882,30.210759621196857,307030,31
2025-01-19,Ads Campaign 30,269877,485895,165,0.0003395795387892,1635.6181818181817,434357,39
2025-01-19,Ads Campaign 41,237228,479115,2677,0.0055873850745645,88.61710870377289,551051,17
2025-01-19,Ads Campaign 46,28068,100214,3850,0.0384177859380924,7.29038961038961,232007,10
2025-01-20,Ads Campaign 8,183864,282075,2193,0.0077745280510502,83.84131326949384,137615,9
2025-01-20,Ads Campaign 32,136923,183220,141,0.0007695666411963,971.0851063829788,531272,21
2025-01-20,Ads Campaign 28,131041,499512,2940,0.0058857444866189,44.571768707483,269216,12
2025-01-21,Ads Campaign 34,215119,20404,1431,0.0701333071946677,150.3277428371768,1338,12
2025-01-21,Ads Campaign 47,37297,472869,4107,0.0086852807014204,9.081324567811054,77834,10
2025-01-21,Ads Campaign 33,28036,491399,4347,0.0088461718481315,6.4495054060271455,4675,13
2025-01-21,Ads Campaign 18,158262,210912,2099,0.0099520179032013,75.39876131491187,47179,8
2025-01-21,Ads Campaign 49,356907,14233,2254,0.1583643645050235,158.3438331854481,152296,13
2025-01-21,Ads Campaign 38,388266,229931,1758,0.0076457719924673,220.8566552901024,48627,13
2025-01-21,Ads Campaign 19,406721,3866,349,0.0902741852043455,1165.3896848137535,4831,5
2025-01-21,Ads Campaign 47,94218,460158,962,0.0020905862768875,97.93970893970894,79956,14
2025-01-21,Ads Campaign 10,48328,231183,1530,0.0066181336863004,31.586928104575165,42038,6
2025-01-21,Ads Campaign 31,310626,255730,3330,0.0130215461619677,93.28108108108108,109847,10
2025-01-21,Ads Campaign 42,128125,163793,2627,0.0160385364453914,48.77236391320898,59330,14
2025-01-21,Ads Campaign 18,198048,426659,1427,0.0033445913481257,138.7862648913805,154761,11
2025-01-21,Ads Campaign 46,491017,32422,2751,0.0848497933501943,178.48673209741912,39788,9
2025-01-21,Ads Campaign 32,231509,104119,1572,0.0150981088946301,147.27035623409668,53392,5
2025-01-21,Ads Campaign 40,498947,4969,1565,0.3149527067820487,318.8159744408946,80188,13
2025-01-21,Ads Campaign 22,357369,4178,4392,1.051220679751077,81.3681693989071,31483,14
2025-01-22,Ads Campaign 7,168930,136699,293,0.0021433953430529,576.5529010238907,311124,23
2025-01-22,Ads Campaign 6,176951,441511,3830,0.0086747555553542,46.20130548302872,571054,24
2025-01-22,Ads Campaign 11,111088,480271,2081,0.0043329703438267,53.38202787121576,199020,14
2025-01-23,Ads Campaign 30,142115,448244,1976,0.0044083133293474,71.92054655870446,246949,9
2025-01-23,Ads Campaign 41,39008,384152,2728,0.0071013557133634,14.299120234604104,47680,5
2025-01-23,Ads Campaign 40,52441,353103,4674,0.0132369308671973,11.219726144629869,212171,9
2025-01-23,Ads Campaign 47,170043,239483,4263,0.0178008459890681,39.8881069669247,135001,9
2025-01-23,Ads Campaign 2,126239,332927,1377,0.0041360418349968,91.67683369644152,388507,15
2025-01-24,Ads Campaign 45,47716,56863,1209,0.0212616288271811,39.46732837055418,70458,10
2025-01-24,Ads Campaign 10,153004,409624,1914,0.0046725777786457,79.93939393939394,383002,24
2025-01-24,Ads Campaign 34,139619,232387,709,0.0030509451905657,196.92383638928067,21135,8
2025-01-24,Ads Campaign 17,69847,195472,2599,0.0132960219366456,26.87456714120816,449802,38
2025-01-24,Ads Campaign 20,136185,356239,148,0.000415451424465,920.168918918919,299642,14
2025-01-25,Ads Campaign 5,148379,287133,1701,0.0059240839610912,87.23045267489712,436245,29
2025-01-25,Ads Campaign 7,256527,288623,3474,0.0120364627905606,73.84196891191709,405728,32
2025-01-25,Ads Campaign 36,113783,256927,4963,0.0193167709115818,22.926254281684464,409464,26
2025-01-25,Ads Campaign 25,174692,22067,3952,0.17909095028776,44.20344129554656,195083,11
2025-01-25,Ads Campaign 35,195607,146817,464,0.0031603969567556,421.5668103448276,317728,35
2025-01-26,Ads Campaign 27,97988,424350,4677,0.0110215623895369,20.9510369895232,293061,11
2025-01-26,Ads Campaign 17,62727,308680,2179,0.0070590903200725,28.78705828361634,305942,30
2025-01-26,Ads Campaign 39,61869,83806,4180,0.0498770971052192,14.801196172248805,114308,5
2025-01-26,Ads Campaign 47,112122,2961,4646,1.569064505234718,24.133017649591046,235846,10
2025-01-26,Ads Campaign 41,241035,176595,3787,0.0214445482601432,63.64800633747029,60924,14
2025-01-27,Ads Campaign 20,197912,446150,4833,0.0108326795920654,40.95013449203393,407333,17
2025-01-27,Ads Campaign 39,70081,28877,4186,0.1449596564740104,16.74175824175824,545066,33
2025-01-27,Ads Campaign 23,211051,207946,1236,0.0059438508074211,170.7532362459547,237572,8
2025-01-27,Ads Campaign 25,65095,40553,4860,0.1198431681996399,13.3940329218107,27771,5
2025-01-28,Ads Campaign 17,86418,212144,3576,0.0168564748472735,24.166107382550337,286315,6
2025-01-28,Ads Campaign 35,145074,66982,2701,0.0403242662207757,53.71121806738245,14615,9
2025-01-28,Ads Campaign 36,166721,157140,149,0.0009481990581646,1118.9328859060402,761,13
2025-01-28,Ads Campaign 6,86914,393551,3324,0.0084461734311436,26.147412755716005,474562,39
2025-01-28,Ads Campaign 10,63527,444441,2991,0.0067298021559667,21.239384821130056,292457,13
2025-01-29,Ads Campaign 48,223199,36903,1870,0.0506733869875077,119.3577540106952,392100,15
2025-01-29,Ads Campaign 29,96021,253734,2569,0.0101247763405771,37.37680031140522,494891,15
2025-01-29,Ads Campaign 10,35372,236889,806,0.0034024374285002,43.88585607940447,242889,12
2025-01-30,Ads Campaign 47,190047,317363,4868,0.0153389021404511,39.04005751848808,262271,10
2025-01-30,Ads Campaign 15,58635,411834,461,0.0011193830523948,127.19088937093277,40024,8
2025-01-30,Ads Campaign 18,109081,286810,4156,0.0144904292040026,26.24663137632339,336873,32
2025-01-30,Ads Campaign 45,142118,287073,3899,0.0135819112211876,36.44985893818928,236725,6
2025-01-31,Ads Campaign 33,28605,222094,198,0.0008915144038109,144.46969696969697,188740,7
2025-01-31,Ads Campaign 14,100811,469517,4232,0.0090135181473727,23.821124763705104,166992,12
2025-01-31,Ads Campaign 2,156643,463111,2341,0.0050549436312244,66.91285775309697,316884,32
2025-01-31,Ads Campaign 25,27415,410740,2342,0.0057019038808005,11.705807002561912,90375,5
2025-01-31,Ads Campaign 21,86216,55460,1121,0.0202127659574468,76.90990187332739,377245,39
2025-02-01,Ads Campaign 49,203043,215566,2351,0.0109061725875138,86.36452573373033,57494,6
2025-02-01,Ads Campaign 20,138325,444066,71,0.0001598861430508,1948.2394366197184,139396,14
2025-02-01,Ads Campaign 9,173385,96408,1840,0.0190855530661355,94.23097826086956,216984,5
2025-02-01,Ads Campaign 14,107697,271146,4205,0.0155082501678062,25.61165279429251,233819,14
2025-02-01,Ads Campaign 20,38135,267909,3296,0.0123026848668764,11.57008495145631,57433,10
2025-02-01,Ads Campaign 33,159088,396203,1430,0.0036092609091803,111.25034965034963,238500,12
2025-02-01,Ads Campaign 5,112764,216189,266,0.0012304048772139,423.9248120300752,232952,9
2025-02-02,Ads Campaign 36,70098,307969,2736,0.0088840110530605,25.62061403508772,110940,12
2025-02-02,Ads Campaign 41,242740,176745,4287,0.0242552830348807,56.62234662934453,245985,7
2025-02-02,Ads Campaign 15,119441,244896,1878,0.0076685613484907,63.60010649627263,303332,20
2025-02-02,Ads Campaign 38,104761,384363,102,0.0002653741385096,1027.0686274509803,300675,28
2025-02-02,Ads Campaign 11,30350,476278,2568,0.0053918089855084,11.81853582554517,187159,8
2025-02-02,Ads Campaign 36,224535,353754,2080,0.0058797921719613,107.94951923076924,307875,20
2025-02-02,Ads Campaign 43,72389,341401,3681,0.0107820422318622,19.665580005433306,299383,10
2025-02-03,Ads Campaign 24,222193,177469,3585,0.0202007111101093,61.97852161785216,180423,5
2025-02-03,Ads Campaign 4,194037,173502,3362,0.0193772982444006,57.71475312314099,75338,9
2025-02-03,Ads Campaign 15,81240,423847,3400,0.0080217625699839,23.894117647058824,456675,24
2025-02-03,Ads Campaign 36,82433,136758,4754,0.0347621345734801,17.339713925115692,516755,26
2025-02-04,Ads Campaign 31,156570,136203,1664,0.0122170583614164,94.09254807692308,274112,9
2025-02-04,Ads Campaign 18,227190,248908,3988,0.0160219840262265,56.96840521564694,474530,35
2025-02-04,Ads Campaign 10,78478,151655,391,0.0025782203026606,200.71099744245524,202789,5
2025-02-05,Ads Campaign 11,56027,378038,2618,0.0069252297388093,21.40068754774637,255087,11
2025-02-05,Ads Campaign 11,179380,59870,2010,0.0335727409387005,89.24378109452736,358932,37
2025-02-05,Ads Campaign 24,140356,306077,2621,0.0085632046837887,53.55055322396032,520594,26
2025-02-05,Ads Campaign 26,143853,472604,3938,0.0083325574899916,36.52945657694261,11698,10
2025-02-06,Ads Campaign 35,265404,302494,4768,0.0157622961116584,55.66359060402685,347049,28
2025-02-06,Ads Campaign 29,152212,309135,1044,0.003377165316124,145.7969348659004,367394,30
2025-02-06,Ads Campaign 20,56304,432058,2394,0.0055409227464831,23.518796992481203,151927,13
2025-02-07,Ads Campaign 46,350814,189505,4306,0.0227223556106699,81.4709707385044,84445,10
2025-02-07,Ads Campaign 13,101442,391270,3219,0.0082270554859815,31.513513513513512,203271,7
2025-02-07,Ads Campaign 31,66101,257505,4171,0.0161977437331313,15.847758331335411,784776,64
2025-02-08,Ads Campaign 46,224054,404157,1781,0.0044067033355849,125.80235822571588,340447,35
2025-02-08,Ads Campaign 12,168586,250265,4596,0.0183645335943899,36.68102697998259,157932,10
2025-02-08,Ads Campaign 9,140234,216558,218,0.0010066587242216,643.2752293577981,501335,15
2025-02-09,Ads Campaign 38,140906,70341,1625,0.0231017472029115,86.71138461538462,277197,8
2025-02-09,Ads Campaign 45,224923,112497,130,0.0011555863711921,1730.176923076923,347336,17
2025-02-09,Ads Campaign 25,111218,39134,576,0.0147186589666274,193.08680555555557,270341,6
2025-02-10,Ads Campaign 39,207954,275597,4502,0.0163354463219846,46.19147045757441,344422,17
2025-02-10,Ads Campaign 44,303022,429519,2741,0.0063815570440422,110.5516234950748,845336,58
2025-02-11,Ads Campaign 49,383809,257875,2592,0.0100513814832767,148.07445987654322,512292,27
2025-02-11,Ads Campaign 18,27597,6750,2953,0.4374814814814814,9.345411445987132,739445,42
2025-02-12,Ads Campaign 49,120123,373828,2908,0.0077789785676835,41.30777166437414,427560,33
2025-02-12,Ads Campaign 7,432811,170934,1125,0.006581487591702,384.7208888888889,631457,38
2025-02-13,Ads Campaign 29,59758,499843,498,0.0009963128422324,119.99598393574296,245701,10
2025-02-13,Ads Campaign 6,103555,185099,807,0.0043598290644465,128.32094175960347,1915,9
2025-02-13,Ads Campaign 18,303456,399237,2334,0.0058461515340512,130.01542416452443,766036,78
2025-02-14,Ads Campaign 45,346062,169171,4633,0.0273864905923592,74.69501402978632,31804,9
2025-02-14,Ads Campaign 27,79500,353365,1482,0.0041939637485319,53.64372469635627,784610,73
2025-02-14,Ads Campaign 46,86093,237500,4455,0.0187578947368421,19.32502805836139,408526,18
2025-02-15,Ads Campaign 30,34743,285944,2141,0.0074874800660269,16.2274638019617,418797,21
2025-02-15,Ads Campaign 42,173512,2051,3740,1.823500731350561,46.39358288770053,639171,36
2025-02-15,Ads Campaign 28,153296,421539,1572,0.0037291923167251,97.51653944020356,148621,10
2025-02-15,Ads Campaign 37,328112,56805,2509,0.0441686471261332,130.77401355121563,30008,7
2025-02-16,Ads Campaign 12,115040,174860,754,0.0043120210454077,152.57294429708222,222286,12
2025-02-16,Ads Campaign 16,181475,413755,1597,0.0038597720873463,113.63494051346274,293708,8
2025-02-16,Ads Campaign 32,46762,191359,135,0.000705480275294,346.3851851851852,149179,5
2025-02-16,Ads Campaign 34,188785,328871,4754,0.0144555159925928,39.71076987799748,456341,29
2025-02-17,Ads Campaign 29,278589,429395,2391,0.0055682995842988,116.51568381430364,752459,57
2025-02-17,Ads Campaign 11,253077,330528,586,0.0017729209023138,431.8720136518771,394258,35
2025-02-18,Ads Campaign 5,236992,262657,642,0.0024442523899991,369.1464174454829,507852,26
2025-02-18,Ads Campaign 22,259779,131956,1744,0.0132165267210282,148.9558486238532,478539,39
2025-02-18,Ads Campaign 18,145438,199303,4343,0.0217909414308866,33.48791158185586,129753,12
2025-02-19,Ads Campaign 41,278864,322690,1851,0.0057361554433047,150.65586169638033,428182,23
2025-02-19,Ads Campaign 15,244834,141148,3466,0.0245557854167257,70.63877668782459,475891,27
2025-02-20,Ads Campaign 35,373847,352193,1160,0.0032936486528693,322.2818965517241,147189,7
2025-02-20,Ads Campaign 38,137961,440439,3359,0.0076264817602437,41.07204525156296,371825,27
2025-02-20,Ads Campaign 43,28556,190052,1831,0.0096342053753709,15.59584926269798,308134,21
2025-02-20,Ads Campaign 17,100388,173257,4817,0.0278026284652279,20.84035706871497,220706,9
2025-02-20,Ads Campaign 32,27684,494960,4665,0.0094250040407305,5.934405144694534,30118,9
2025-02-20,Ads Campaign 19,206292,391136,235,0.0006008140391066,877.8382978723404,130451,13
2025-02-21,Ads Campaign 12,170575,110388,3530,0.0319781135630684,48.32152974504249,388537,33
2025-02-21,Ads Campaign 22,31390,200737,4513,0.0224821532652176,6.955461998670508,127772,13
2025-02-21,Ads Campaign 23,110887,152426,1319,0.0086533793447312,84.06899166034874,368145,16
2025-02-21,Ads Campaign 1,265739,460379,2741,0.0059537902467314,96.9496534111638,17682,11
2025-02-22,Ads Campaign 24,344637,235538,1534,0.0065127495351068,224.6655801825293,211106,11
2025-02-22,Ads Campaign 4,235234,450757,2667,0.0059167134398356,88.20172478440195,997043,48
2025-02-23,Ads Campaign 26,258746,391452,4709,0.0120295719526276,54.947122531323,428453,21
2025-02-23,Ads Campaign 34,26142,389227,1587,0.0040773122111261,16.472589792060493,444383,22
2025-02-23,Ads Campaign 24,44045,335535,2829,0.0084313111895927,15.56910569105691,33250,8
2025-02-23,Ads Campaign 47,197164,244154,457,0.001871769456982,431.4310722100656,324833,25
2025-02-24,Ads Campaign 17,244448,99000,2552,0.0257777777777777,95.78683385579936,37382,10
2025-02-24,Ads Campaign 40,20138,221534,3644,0.0164489423745339,5.526344676180022,320292,31
2025-02-24,Ads Campaign 29,302363,170302,2959,0.0173750161477845,102.18418384589388,696771,35
2025-02-25,Ads Campaign 15,60510,424148,190,0.0004479568452521,318.4736842105263,128072,7
2025-02-25,Ads Campaign 37,231977,189487,1946,0.0102698338144569,119.2070914696814,305263,16
2025-02-25,Ads Campaign 34,260891,94326,4295,0.0455335750482369,60.742956926658906,344823,25
2025-02-25,Ads Campaign 47,114876,393643,2006,0.005095987989117,57.266201395812566,356045,26
2025-02-25,Ads Campaign 34,206633,132936,967,0.0072741770476018,213.68459152016547,271780,13
2025-02-25,Ads Campaign 43,20917,23499,4675,0.1989446359419549,4.474224598930482,312634,27
2025-02-26,Ads Campaign 3,195251,445755,1207,0.002707765476551,161.7655343827672,108656,13
2025-02-26,Ads Campaign 13,485065,3775,1187,0.3144370860927152,408.64785172704296,364487,19
2025-02-26,Ads Campaign 33,74189,471489,4935,0.0104668401595795,15.03323201621074,514958,20
2025-02-27,Ads Campaign 12,146060,498599,398,0.0007982366591188,366.9849246231156,24576,10
2025-02-27,Ads Campaign 29,115071,325934,4245,0.0130241091754772,27.10742049469965,207689,8
2025-02-27,Ads Campaign 44,120167,266406,2385,0.0089525010697957,50.38448637316562,294663,6
2025-02-27,Ads Campaign 6,133550,299088,3815,0.0127554432140373,35.00655307994757,313611,33
2025-02-28,Ads Campaign 23,196806,287663,3696,0.0128483677080472,53.24837662337662,547879,23
2025-02-28,Ads Campaign 2,477602,274493,210,0.0007650468317953,2274.295238095238,738567,45
