seller_id,promo_id,purchase_date,promo_name,total_price,price_deduction,price_after_promo
120,2,03/06/2022,GRATIS_ONGKIR,379800,5000,374800
120,2,03/06/2022,GRATIS_ONGKIR,239800,5000,234800
120,2,03/06/2022,GRATIS_ONGKIR,299800,5000,294800
224,0,17/06/2022,NULL,186000,NULL,0
224,0,17/06/2022,NULL,228000,NULL,0
224,0,17/06/2022,NULL,442260,NULL,0
224,0,17/06/2022,NULL,405870,NULL,0
224,0,17/06/2022,NULL,448950,NULL,0
224,0,17/06/2022,NULL,506250,NULL,0
224,0,17/06/2022,NULL,506250,NULL,0
224,0,17/06/2022,NULL,326250,NULL,0
213,0,05/06/2022,NULL,156000,NULL,0
123,0,11/06/2022,NULL,599997,NULL,0
123,0,11/06/2022,NULL,689997,NULL,0
123,0,11/06/2022,NULL,599997,NULL,0
123,0,11/06/2022,NULL,599997,NULL,0
123,0,11/06/2022,NULL,599997,NULL,0
184,2,18/06/2022,GRATIS_ONGKIR,187200,5000,182200
184,2,18/06/2022,GRATIS_ONGKIR,209700,5000,204700
184,2,18/06/2022,GRATIS_ONGKIR,148500,5000,143500
224,0,10/06/2022,NULL,186000,NULL,0
224,0,10/06/2022,NULL,228000,NULL,0
224,0,10/06/2022,NULL,442260,NULL,0
224,0,10/06/2022,NULL,405870,NULL,0
224,0,10/06/2022,NULL,448950,NULL,0
224,0,10/06/2022,NULL,506250,NULL,0
224,0,10/06/2022,NULL,506250,NULL,0
224,0,10/06/2022,NULL,326250,NULL,0
263,0,24/06/2022,NULL,85000,NULL,0
263,0,24/06/2022,NULL,120000,NULL,0
187,0,25/06/2022,NULL,198000,NULL,0
181,0,03/06/2022,NULL,113800,NULL,0
181,0,03/06/2022,NULL,113800,NULL,0
181,0,03/06/2022,NULL,101000,NULL,0
175,2,05/06/2022,GRATIS_ONGKIR,65000,5000,60000
110,2,10/06/2022,GRATIS_ONGKIR,130000,5000,125000
141,0,17/06/2022,NULL,217500,NULL,0
141,0,17/06/2022,NULL,181500,NULL,0
142,0,27/06/2022,NULL,195000,NULL,0
77,2,05/06/2022,GRATIS_ONGKIR,880000,5000,875000
230,2,09/06/2022,GRATIS_ONGKIR,152000,5000,147000
230,2,09/06/2022,GRATIS_ONGKIR,90000,5000,85000
230,2,09/06/2022,GRATIS_ONGKIR,240500,5000,235500
230,2,09/06/2022,GRATIS_ONGKIR,207000,5000,202000
252,0,17/06/2022,NULL,20000,NULL,0
252,0,17/06/2022,NULL,54000,NULL,0
252,0,17/06/2022,NULL,64000,NULL,0
254,2,15/06/2022,GRATIS_ONGKIR,290000,5000,285000
204,2,24/06/2022,GRATIS_ONGKIR,172500,5000,167500
207,2,05/06/2022,GRATIS_ONGKIR,150000,5000,145000
12,0,18/06/2022,NULL,119800,NULL,0
12,0,18/06/2022,NULL,250000,NULL,0
103,0,14/06/2022,NULL,19000,NULL,0
102,0,18/06/2022,NULL,119600,NULL,0
19,2,30/06/2022,GRATIS_ONGKIR,299700,5000,294700
19,2,30/06/2022,GRATIS_ONGKIR,196500,5000,191500
19,2,30/06/2022,GRATIS_ONGKIR,224850,5000,219850
13,2,21/06/2022,GRATIS_ONGKIR,2830000,5000,2825000
13,2,21/06/2022,GRATIS_ONGKIR,3318000,5000,3313000
13,2,21/06/2022,GRATIS_ONGKIR,2878000,5000,2873000
210,0,19/06/2022,NULL,37900,NULL,0
302,2,27/06/2022,GRATIS_ONGKIR,36910,5000,31910
21,2,05/06/2022,GRATIS_ONGKIR,105000,5000,100000
180,2,18/06/2022,GRATIS_ONGKIR,71000,5000,66000
236,2,03/06/2022,GRATIS_ONGKIR,133800,5000,128800
241,2,13/06/2022,GRATIS_ONGKIR,115000,5000,110000
241,2,13/06/2022,GRATIS_ONGKIR,64150,5000,59150
148,0,24/06/2022,NULL,387600,NULL,0
148,0,24/06/2022,NULL,387600,NULL,0
107,0,14/06/2022,NULL,7500,NULL,0
111,2,11/06/2022,GRATIS_ONGKIR,330000,5000,325000
226,0,04/06/2022,NULL,252450,NULL,0
226,0,04/06/2022,NULL,117000,NULL,0
226,0,04/06/2022,NULL,472500,NULL,0
226,0,04/06/2022,NULL,472500,NULL,0
116,2,30/06/2022,GRATIS_ONGKIR,260000,5000,255000
116,2,30/06/2022,GRATIS_ONGKIR,260000,5000,255000
242,0,18/06/2022,NULL,499500,NULL,0
72,0,26/06/2022,NULL,165000,NULL,0
72,0,26/06/2022,NULL,165000,NULL,0
252,2,26/06/2022,GRATIS_ONGKIR,30000,5000,25000
252,2,26/06/2022,GRATIS_ONGKIR,81000,5000,76000
252,2,26/06/2022,GRATIS_ONGKIR,96000,5000,91000
267,1,01/06/2022,AWAL_GAJIAN,84645,15000,69645
267,1,01/06/2022,AWAL_GAJIAN,217999,15000,202999
67,2,26/06/2022,GRATIS_ONGKIR,125970,5000,120970
67,2,26/06/2022,GRATIS_ONGKIR,125970,5000,120970
282,2,22/06/2022,GRATIS_ONGKIR,22500,5000,17500
282,2,22/06/2022,GRATIS_ONGKIR,21000,5000,16000
94,0,23/06/2022,NULL,5010,NULL,0
94,0,23/06/2022,NULL,5070,NULL,0
139,0,18/06/2022,NULL,225900,NULL,0
180,0,30/06/2022,NULL,71000,NULL,0
276,2,23/06/2022,GRATIS_ONGKIR,93884,5000,88884
276,2,23/06/2022,GRATIS_ONGKIR,131746,5000,126746
316,2,25/06/2022,GRATIS_ONGKIR,44900,5000,39900
184,0,24/06/2022,NULL,187200,NULL,0
184,0,24/06/2022,NULL,209700,NULL,0
184,0,24/06/2022,NULL,148500,NULL,0
251,0,06/06/2022,NULL,35200,NULL,0
251,0,06/06/2022,NULL,42660,NULL,0
251,0,06/06/2022,NULL,157250,NULL,0
251,0,06/06/2022,NULL,36975,NULL,0
242,0,17/06/2022,NULL,499500,NULL,0
272,0,09/06/2022,NULL,129500,NULL,0
272,0,09/06/2022,NULL,73000,NULL,0
201,2,10/06/2022,GRATIS_ONGKIR,44000,5000,39000
135,0,25/06/2022,NULL,89000,NULL,0
227,0,28/06/2022,NULL,81180,NULL,0
227,0,28/06/2022,NULL,72680,NULL,0
227,0,28/06/2022,NULL,72680,NULL,0
227,0,28/06/2022,NULL,131120,NULL,0
227,0,28/06/2022,NULL,72680,NULL,0
13,2,26/06/2022,GRATIS_ONGKIR,4245000,5000,4240000
13,2,26/06/2022,GRATIS_ONGKIR,4977000,5000,4972000
13,2,26/06/2022,GRATIS_ONGKIR,4317000,5000,4312000
226,0,18/06/2022,NULL,252450,NULL,0
226,0,18/06/2022,NULL,117000,NULL,0
226,0,18/06/2022,NULL,472500,NULL,0
226,0,18/06/2022,NULL,472500,NULL,0
49,0,09/06/2022,NULL,299999,NULL,0
31,2,25/06/2022,GRATIS_ONGKIR,23200,5000,18200
238,2,01/06/2022,GRATIS_ONGKIR,231750,5000,226750
93,0,13/06/2022,NULL,1515000,NULL,0
241,0,15/06/2022,NULL,230000,NULL,0
241,0,15/06/2022,NULL,128300,NULL,0
154,2,05/06/2022,GRATIS_ONGKIR,150000,5000,145000
115,0,26/06/2022,NULL,228000,NULL,0
46,2,08/06/2022,GRATIS_ONGKIR,485997,5000,480997
52,2,05/06/2022,GRATIS_ONGKIR,220000,5000,215000
239,2,13/06/2022,GRATIS_ONGKIR,159000,5000,154000
239,2,13/06/2022,GRATIS_ONGKIR,179000,5000,174000
106,0,10/06/2022,NULL,17500,NULL,0
224,0,01/06/2022,NULL,124000,NULL,0
224,0,01/06/2022,NULL,152000,NULL,0
224,0,01/06/2022,NULL,294840,NULL,0
224,0,01/06/2022,NULL,270580,NULL,0
224,0,01/06/2022,NULL,299300,NULL,0
224,0,01/06/2022,NULL,337500,NULL,0
224,0,01/06/2022,NULL,337500,NULL,0
224,0,01/06/2022,NULL,217500,NULL,0
290,0,24/06/2022,NULL,69642,NULL,0
290,0,24/06/2022,NULL,202710,NULL,0
290,0,24/06/2022,NULL,117003,NULL,0
29,0,05/06/2022,NULL,17900,NULL,0
253,0,11/06/2022,NULL,232500,NULL,0
243,2,25/06/2022,GRATIS_ONGKIR,59000,5000,54000
243,2,25/06/2022,GRATIS_ONGKIR,178322,5000,173322
6,0,02/06/2022,NULL,62000,NULL,0
6,0,02/06/2022,NULL,86000,NULL,0
6,0,02/06/2022,NULL,436000,NULL,0
6,0,02/06/2022,NULL,59800,NULL,0
92,2,12/06/2022,GRATIS_ONGKIR,254070,5000,249070
92,2,12/06/2022,GRATIS_ONGKIR,236370,5000,231370
226,2,18/06/2022,GRATIS_ONGKIR,168300,5000,163300
226,2,18/06/2022,GRATIS_ONGKIR,78000,5000,73000
226,2,18/06/2022,GRATIS_ONGKIR,315000,5000,310000
226,2,18/06/2022,GRATIS_ONGKIR,315000,5000,310000
25,2,18/06/2022,GRATIS_ONGKIR,1830510,5000,1825510
35,2,25/06/2022,GRATIS_ONGKIR,36000,5000,31000
224,0,29/06/2022,NULL,186000,NULL,0
224,0,29/06/2022,NULL,228000,NULL,0
224,0,29/06/2022,NULL,442260,NULL,0
224,0,29/06/2022,NULL,405870,NULL,0
224,0,29/06/2022,NULL,448950,NULL,0
224,0,29/06/2022,NULL,506250,NULL,0
224,0,29/06/2022,NULL,506250,NULL,0
224,0,29/06/2022,NULL,326250,NULL,0
225,2,18/06/2022,GRATIS_ONGKIR,198000,5000,193000
225,2,18/06/2022,GRATIS_ONGKIR,198000,5000,193000
225,2,18/06/2022,GRATIS_ONGKIR,131400,5000,126400
229,2,03/06/2022,GRATIS_ONGKIR,116000,5000,111000
229,2,03/06/2022,GRATIS_ONGKIR,51200,5000,46200
229,2,03/06/2022,GRATIS_ONGKIR,99750,5000,94750
229,2,03/06/2022,GRATIS_ONGKIR,64000,5000,59000
152,2,05/06/2022,GRATIS_ONGKIR,140000,5000,135000
77,0,22/06/2022,NULL,440000,NULL,0
102,0,16/06/2022,NULL,179400,NULL,0
8,1,01/06/2022,AWAL_GAJIAN,195000,15000,180000
8,1,01/06/2022,AWAL_GAJIAN,270000,15000,255000
8,1,01/06/2022,AWAL_GAJIAN,170000,15000,155000
8,1,01/06/2022,AWAL_GAJIAN,158000,15000,143000
8,1,01/06/2022,AWAL_GAJIAN,207800,15000,192800
83,2,30/06/2022,GRATIS_ONGKIR,599700,5000,594700
129,2,26/06/2022,GRATIS_ONGKIR,278000,5000,273000
129,2,26/06/2022,GRATIS_ONGKIR,210000,5000,205000
129,2,26/06/2022,GRATIS_ONGKIR,318000,5000,313000
66,0,13/06/2022,NULL,830000,NULL,0
66,0,13/06/2022,NULL,830000,NULL,0
289,2,13/06/2022,GRATIS_ONGKIR,24250,5000,19250
289,2,13/06/2022,GRATIS_ONGKIR,18187,5000,13187
289,2,13/06/2022,GRATIS_ONGKIR,18693,5000,13693
289,2,13/06/2022,GRATIS_ONGKIR,12125,5000,7125
289,2,13/06/2022,GRATIS_ONGKIR,13135,5000,8135
181,0,04/06/2022,NULL,56900,NULL,0
181,0,04/06/2022,NULL,56900,NULL,0
181,0,04/06/2022,NULL,50500,NULL,0
308,0,20/06/2022,NULL,21724,NULL,0
42,2,21/06/2022,GRATIS_ONGKIR,7140,5000,2140
282,2,07/06/2022,GRATIS_ONGKIR,15000,5000,10000
282,2,07/06/2022,GRATIS_ONGKIR,14000,5000,9000
283,2,17/06/2022,GRATIS_ONGKIR,99150,5000,94150
275,0,24/06/2022,NULL,73500,NULL,0
275,0,24/06/2022,NULL,478800,NULL,0
188,0,27/06/2022,NULL,200000,NULL,0
18,0,15/06/2022,NULL,128000,NULL,0
18,0,15/06/2022,NULL,188000,NULL,0
44,0,12/06/2022,NULL,558000,NULL,0
113,2,17/06/2022,GRATIS_ONGKIR,426000,5000,421000
113,2,17/06/2022,GRATIS_ONGKIR,465000,5000,460000
113,2,17/06/2022,GRATIS_ONGKIR,465000,5000,460000
113,2,17/06/2022,GRATIS_ONGKIR,1074000,5000,1069000
113,2,17/06/2022,GRATIS_ONGKIR,415500,5000,410500
113,2,17/06/2022,GRATIS_ONGKIR,397500,5000,392500
259,2,03/06/2022,GRATIS_ONGKIR,69000,5000,64000
52,0,12/06/2022,NULL,220000,NULL,0
91,2,27/06/2022,GRATIS_ONGKIR,143700,5000,138700
214,0,29/06/2022,NULL,91000,NULL,0
178,2,25/06/2022,GRATIS_ONGKIR,65000,5000,60000
178,2,25/06/2022,GRATIS_ONGKIR,65000,5000,60000
226,0,14/06/2022,NULL,168300,NULL,0
226,0,14/06/2022,NULL,78000,NULL,0
226,0,14/06/2022,NULL,315000,NULL,0
226,0,14/06/2022,NULL,315000,NULL,0
77,2,27/06/2022,GRATIS_ONGKIR,1320000,5000,1315000
192,2,15/06/2022,GRATIS_ONGKIR,712500,5000,707500
60,2,04/06/2022,GRATIS_ONGKIR,750000,5000,745000
223,0,27/06/2022,NULL,390000,NULL,0
160,2,15/06/2022,GRATIS_ONGKIR,65000,5000,60000
9,2,26/06/2022,GRATIS_ONGKIR,218000,5000,213000
225,2,29/06/2022,GRATIS_ONGKIR,297000,5000,292000
225,2,29/06/2022,GRATIS_ONGKIR,297000,5000,292000
225,2,29/06/2022,GRATIS_ONGKIR,197100,5000,192100
35,0,24/06/2022,NULL,108000,NULL,0
294,0,10/06/2022,NULL,550000,NULL,0
267,2,25/06/2022,GRATIS_ONGKIR,169290,5000,164290
267,2,25/06/2022,GRATIS_ONGKIR,435998,5000,430998
282,0,09/06/2022,NULL,7500,NULL,0
282,0,09/06/2022,NULL,7000,NULL,0
29,2,13/06/2022,GRATIS_ONGKIR,17900,5000,12900
255,2,11/06/2022,GRATIS_ONGKIR,189000,5000,184000
277,0,19/06/2022,NULL,340000,NULL,0
243,0,22/06/2022,NULL,118000,NULL,0
243,0,22/06/2022,NULL,356644,NULL,0
213,2,04/06/2022,GRATIS_ONGKIR,156000,5000,151000
78,0,14/06/2022,NULL,2682000,NULL,0
298,0,23/06/2022,NULL,55365,NULL,0
220,2,15/06/2022,GRATIS_ONGKIR,126000,5000,121000
284,2,24/06/2022,GRATIS_ONGKIR,246500,5000,241500
284,2,24/06/2022,GRATIS_ONGKIR,93000,5000,88000
284,2,24/06/2022,GRATIS_ONGKIR,72500,5000,67500
284,2,24/06/2022,GRATIS_ONGKIR,278500,5000,273500
284,2,24/06/2022,GRATIS_ONGKIR,52000,5000,47000
134,2,01/06/2022,GRATIS_ONGKIR,438000,5000,433000
36,2,23/06/2022,GRATIS_ONGKIR,89700,5000,84700
217,2,25/06/2022,GRATIS_ONGKIR,89900,5000,84900
275,2,16/06/2022,GRATIS_ONGKIR,49000,5000,44000
275,2,16/06/2022,GRATIS_ONGKIR,319200,5000,314200
236,2,13/06/2022,GRATIS_ONGKIR,66900,5000,61900
97,2,15/06/2022,GRATIS_ONGKIR,300000,5000,295000
227,0,03/06/2022,NULL,162360,NULL,0
227,0,03/06/2022,NULL,145360,NULL,0
227,0,03/06/2022,NULL,145360,NULL,0
227,0,03/06/2022,NULL,262240,NULL,0
227,0,03/06/2022,NULL,145360,NULL,0
113,2,09/06/2022,GRATIS_ONGKIR,142000,5000,137000
113,2,09/06/2022,GRATIS_ONGKIR,155000,5000,150000
113,2,09/06/2022,GRATIS_ONGKIR,155000,5000,150000
113,2,09/06/2022,GRATIS_ONGKIR,358000,5000,353000
113,2,09/06/2022,GRATIS_ONGKIR,138500,5000,133500
113,2,09/06/2022,GRATIS_ONGKIR,132500,5000,127500
114,0,09/06/2022,NULL,74000,NULL,0
163,2,12/06/2022,GRATIS_ONGKIR,129000,5000,124000
240,2,27/06/2022,GRATIS_ONGKIR,417000,5000,412000
25,2,06/06/2022,GRATIS_ONGKIR,5491530,5000,5486530
32,0,21/06/2022,NULL,1128000,NULL,0
151,2,07/06/2022,GRATIS_ONGKIR,118500,5000,113500
307,2,22/06/2022,GRATIS_ONGKIR,73998,5000,68998
56,2,15/06/2022,GRATIS_ONGKIR,1440000,5000,1435000
56,2,15/06/2022,GRATIS_ONGKIR,1020000,5000,1015000
56,2,15/06/2022,GRATIS_ONGKIR,693000,5000,688000
56,2,15/06/2022,GRATIS_ONGKIR,693000,5000,688000
290,0,30/06/2022,NULL,23214,NULL,0
290,0,30/06/2022,NULL,67570,NULL,0
290,0,30/06/2022,NULL,39001,NULL,0
229,0,23/06/2022,NULL,174000,NULL,0
229,0,23/06/2022,NULL,76800,NULL,0
229,0,23/06/2022,NULL,149625,NULL,0
229,0,23/06/2022,NULL,96000,NULL,0
123,0,22/06/2022,NULL,599997,NULL,0
123,0,22/06/2022,NULL,689997,NULL,0
123,0,22/06/2022,NULL,599997,NULL,0
123,0,22/06/2022,NULL,599997,NULL,0
123,0,22/06/2022,NULL,599997,NULL,0
227,0,09/06/2022,NULL,81180,NULL,0
227,0,09/06/2022,NULL,72680,NULL,0
227,0,09/06/2022,NULL,72680,NULL,0
227,0,09/06/2022,NULL,131120,NULL,0
227,0,09/06/2022,NULL,72680,NULL,0
208,0,20/06/2022,NULL,75900,NULL,0
224,2,10/06/2022,GRATIS_ONGKIR,124000,5000,119000
224,2,10/06/2022,GRATIS_ONGKIR,152000,5000,147000
224,2,10/06/2022,GRATIS_ONGKIR,294840,5000,289840
224,2,10/06/2022,GRATIS_ONGKIR,270580,5000,265580
224,2,10/06/2022,GRATIS_ONGKIR,299300,5000,294300
224,2,10/06/2022,GRATIS_ONGKIR,337500,5000,332500
224,2,10/06/2022,GRATIS_ONGKIR,337500,5000,332500
224,2,10/06/2022,GRATIS_ONGKIR,217500,5000,212500
72,2,19/06/2022,GRATIS_ONGKIR,110000,5000,105000
72,2,19/06/2022,GRATIS_ONGKIR,110000,5000,105000
188,2,29/06/2022,GRATIS_ONGKIR,200000,5000,195000
207,1,01/06/2022,AWAL_GAJIAN,300000,15000,285000
84,0,12/06/2022,NULL,525,NULL,0
150,2,05/06/2022,GRATIS_ONGKIR,338000,5000,333000
150,2,05/06/2022,GRATIS_ONGKIR,338000,5000,333000
116,0,28/06/2022,NULL,130000,NULL,0
116,0,28/06/2022,NULL,130000,NULL,0
12,2,10/06/2022,GRATIS_ONGKIR,59900,5000,54900
12,2,10/06/2022,GRATIS_ONGKIR,125000,5000,120000
188,2,21/06/2022,GRATIS_ONGKIR,300000,5000,295000
30,0,07/06/2022,NULL,123000,NULL,0
98,2,21/06/2022,GRATIS_ONGKIR,2097000,5000,2092000
221,0,14/06/2022,NULL,375000,NULL,0
13,0,20/06/2022,NULL,4245000,NULL,0
13,0,20/06/2022,NULL,4977000,NULL,0
13,0,20/06/2022,NULL,4317000,NULL,0
306,2,15/06/2022,GRATIS_ONGKIR,215100,5000,210100
306,2,15/06/2022,GRATIS_ONGKIR,44400,5000,39400
146,2,09/06/2022,GRATIS_ONGKIR,165500,5000,160500
233,2,07/06/2022,GRATIS_ONGKIR,68700,5000,63700
233,2,07/06/2022,GRATIS_ONGKIR,68700,5000,63700
233,2,07/06/2022,GRATIS_ONGKIR,177000,5000,172000
160,2,03/06/2022,GRATIS_ONGKIR,195000,5000,190000
197,0,06/06/2022,NULL,197000,NULL,0
197,0,06/06/2022,NULL,149600,NULL,0
248,2,23/06/2022,GRATIS_ONGKIR,72675,5000,67675
92,0,19/06/2022,NULL,84690,NULL,0
92,0,19/06/2022,NULL,78790,NULL,0
114,0,10/06/2022,NULL,74000,NULL,0
233,0,07/06/2022,NULL,22900,NULL,0
233,0,07/06/2022,NULL,22900,NULL,0
233,0,07/06/2022,NULL,59000,NULL,0
44,2,07/06/2022,GRATIS_ONGKIR,279000,5000,274000
102,0,26/06/2022,NULL,119600,NULL,0
84,0,22/06/2022,NULL,525,NULL,0
181,0,28/06/2022,NULL,113800,NULL,0
181,0,28/06/2022,NULL,113800,NULL,0
181,0,28/06/2022,NULL,101000,NULL,0
276,2,16/06/2022,GRATIS_ONGKIR,46942,5000,41942
276,2,16/06/2022,GRATIS_ONGKIR,65873,5000,60873
25,2,11/06/2022,GRATIS_ONGKIR,5491530,5000,5486530
305,0,05/06/2022,NULL,62000,NULL,0
178,0,19/06/2022,NULL,130000,NULL,0
178,0,19/06/2022,NULL,130000,NULL,0
233,2,16/06/2022,GRATIS_ONGKIR,68700,5000,63700
233,2,16/06/2022,GRATIS_ONGKIR,68700,5000,63700
233,2,16/06/2022,GRATIS_ONGKIR,177000,5000,172000
259,0,18/06/2022,NULL,69000,NULL,0
265,1,01/06/2022,AWAL_GAJIAN,30000,15000,15000
124,2,25/06/2022,GRATIS_ONGKIR,129270,5000,124270
124,2,25/06/2022,GRATIS_ONGKIR,85000,5000,80000
124,2,25/06/2022,GRATIS_ONGKIR,125100,5000,120100
124,2,25/06/2022,GRATIS_ONGKIR,125000,5000,120000
124,2,25/06/2022,GRATIS_ONGKIR,160000,5000,155000
124,2,25/06/2022,GRATIS_ONGKIR,95000,5000,90000
136,2,25/06/2022,GRATIS_ONGKIR,192900,5000,187900
268,0,30/06/2022,NULL,9748,NULL,0
303,2,21/06/2022,GRATIS_ONGKIR,808275,5000,803275
315,2,07/06/2022,GRATIS_ONGKIR,19000,5000,14000
123,0,05/06/2022,NULL,399998,NULL,0
123,0,05/06/2022,NULL,459998,NULL,0
123,0,05/06/2022,NULL,399998,NULL,0
123,0,05/06/2022,NULL,399998,NULL,0
123,0,05/06/2022,NULL,399998,NULL,0
64,2,02/06/2022,GRATIS_ONGKIR,144000,5000,139000
64,2,02/06/2022,GRATIS_ONGKIR,1440000,5000,1435000
64,2,02/06/2022,GRATIS_ONGKIR,1470000,5000,1465000
64,2,02/06/2022,GRATIS_ONGKIR,5097000,5000,5092000
64,2,02/06/2022,GRATIS_ONGKIR,321000,5000,316000
17,0,18/06/2022,NULL,28500,NULL,0
17,0,18/06/2022,NULL,30600,NULL,0
114,2,25/06/2022,GRATIS_ONGKIR,222000,5000,217000
20,0,26/06/2022,NULL,599998,NULL,0
113,0,30/06/2022,NULL,142000,NULL,0
113,0,30/06/2022,NULL,155000,NULL,0
113,0,30/06/2022,NULL,155000,NULL,0
113,0,30/06/2022,NULL,358000,NULL,0
113,0,30/06/2022,NULL,138500,NULL,0
113,0,30/06/2022,NULL,132500,NULL,0
141,2,23/06/2022,GRATIS_ONGKIR,72500,5000,67500
141,2,23/06/2022,GRATIS_ONGKIR,60500,5000,55500
61,2,01/06/2022,GRATIS_ONGKIR,275000,5000,270000
7,1,01/06/2022,AWAL_GAJIAN,104000,15000,89000
7,1,01/06/2022,AWAL_GAJIAN,118000,15000,103000
51,0,29/06/2022,NULL,465000,NULL,0
225,0,04/06/2022,NULL,297000,NULL,0
225,0,04/06/2022,NULL,297000,NULL,0
225,0,04/06/2022,NULL,197100,NULL,0
141,0,19/06/2022,NULL,72500,NULL,0
141,0,19/06/2022,NULL,60500,NULL,0
151,0,16/06/2022,NULL,118500,NULL,0
2,0,11/06/2022,NULL,50000,NULL,0
160,2,20/06/2022,GRATIS_ONGKIR,195000,5000,190000
